id,n_drivers,n_rfd,driver_driver_similarity,rfd_rfd_similarity,driver_rfd_similarity
1500,2,2,0.13180691003799438,0.18962275981903076,0.07362456619739532
1501,3,1,0.1499757170677185,,0.2048652172088623
1502,2,3,0.1505315899848938,0.3121657371520996,0.24300329387187958
1507,2,5,0.33410391211509705,0.3286755383014679,0.3399769365787506
1508,2,2,0.24472548067569733,0.20521189272403717,0.3248165249824524
1509,2,4,0.16139370203018188,0.30249884724617004,0.20839986205101013
1510,2,2,0.3445308208465576,0.06773681193590164,0.15477082133293152
1511,2,3,0.32110661268234253,0.5187484622001648,0.3724956512451172
1512,2,2,0.23166030645370483,0.40275177359580994,0.22682029008865356
1514,2,1,0.39783820509910583,,0.18045100569725037
1517,2,2,0.3831014633178711,0.20265167951583862,0.2614799439907074
1518,2,3,0.20916132628917694,0.29959896206855774,0.309469997882843
1520,2,2,0.3886129856109619,0.15422144532203674,0.2956114411354065
1522,2,1,0.1651977151632309,,0.22987213730812073
1525,2,3,0.5783770084381104,0.4976554811000824,0.2584323585033417
1526,2,2,0.25537988543510437,0.27751627564430237,0.2902490794658661
1528,1,1,,,0.14029020071029663
1532,2,2,0.28793030977249146,0.05782096087932587,0.19137945771217346
1533,2,1,0.18508757650852203,,0.2959632873535156
1539,1,2,,0.3493124544620514,0.5863444805145264
1540,0,2,,0.297496497631073,
1544,2,2,0.2715992331504822,0.12372997403144836,0.18627861142158508
1545,2,1,0.42005839943885803,,0.2560414671897888
1548,2,3,0.20211531221866608,0.23049946129322052,0.24277222156524658
1553,2,2,0.25717073678970337,0.49766871333122253,0.08640576153993607
1554,3,2,0.260206937789917,0.6547020673751831,0.11654722690582275
1560,1,1,,,0.26898834109306335
1561,1,3,,0.39322519302368164,0.20209789276123047
1562,1,0,,,
1563,1,1,,,0.05170249193906784
1564,1,0,,,
1565,1,1,,,0.20949645340442657
1566,2,3,0.37268078327178955,0.336195707321167,0.4117559492588043
1567,1,3,,0.3157081604003906,0.33919277787208557
1568,1,3,,0.2612556517124176,0.16253019869327545
1570,1,0,,,
1571,1,1,,,0.215616837143898
1573,2,0,0.5737046003341675,,
1574,1,1,,,0.41593265533447266
1578,1,1,,,0.3897894620895386
1580,1,0,,,
1582,1,1,,,0.5292026996612549
1583,1,0,,,
1584,1,3,,0.15761463344097137,0.2887122929096222
1585,1,1,,,0.2890709638595581
1587,1,1,,,0.32792508602142334
1589,2,1,0.6868069171905518,,0.41853031516075134
1590,1,1,,,0.8973297476768494
1591,1,3,,0.1289748102426529,0.28153952956199646
1592,2,3,0.16740623116493225,0.1255010962486267,0.24742917716503143
1594,2,1,0.3353235125541687,,0.38918691873550415
1595,2,3,0.38452377915382385,0.23934300243854523,0.24796821177005768
1597,3,2,0.22861093282699585,0.12966054677963257,0.27022793889045715
1600,1,0,,,
1601,2,3,0.32452499866485596,0.32619738578796387,0.16320647299289703
1603,1,1,,,0.6767434477806091
1605,3,2,0.44950616359710693,0.3909488916397095,0.37889930605888367
1608,1,2,,0.24414360523223877,0.16015216708183289
1609,2,1,0.34089672565460205,,0.1086461991071701
1611,2,5,0.3731446862220764,0.2780754268169403,0.3427891433238983
1613,3,4,0.2387019842863083,0.24410133063793182,0.23232702910900116
1617,2,2,0.4778588116168976,0.34909379482269287,0.3705903887748718
1618,2,2,0.17612773180007935,0.2321479320526123,0.3411684036254883
1619,1,3,,0.2191072553396225,0.22992324829101562
1621,2,2,0.4300079941749573,0.45793622732162476,0.30571913719177246
1623,2,2,0.25622668862342834,0.1804717481136322,0.22873981297016144
1624,2,0,0.3532266318798065,,
1625,1,2,,0.3054433763027191,0.6000829935073853
1626,2,2,0.23504747450351715,0.14465700089931488,0.29168498516082764
1627,3,2,0.35496005415916443,0.39842066168785095,0.3096109628677368
1628,2,2,0.5487179756164551,0.1611618995666504,0.34030187129974365
1629,2,4,0.04202626645565033,0.26334524154663086,0.241805300116539
1630,2,2,0.5426666140556335,0.18280304968357086,0.3149881958961487
1631,2,3,0.29983168840408325,0.39288631081581116,0.3687686622142792
1634,2,2,0.7608893513679504,0.3023369610309601,0.27251946926116943
1635,2,3,0.573912501335144,0.2899630069732666,0.37208056449890137
1637,1,3,,0.26819923520088196,0.44490885734558105
1638,3,3,0.4208559989929199,0.15925653278827667,0.2636827826499939
1640,2,0,0.34461501240730286,,
1641,3,3,0.47901737689971924,0.2691408395767212,0.4624343514442444
1642,2,4,0.20861965417861938,0.28251755237579346,0.1751004159450531
1643,2,1,0.156749427318573,,0.4042305648326874
1644,1,4,,0.20501463115215302,0.25535422563552856
1646,2,4,0.5593718886375427,0.2802651822566986,0.43176060914993286
1647,2,3,0.18663610517978668,0.24359536170959473,0.283059298992157
1649,1,1,,,0.43057703971862793
1650,2,2,0.6573388576507568,0.616168737411499,0.3621997833251953
1651,1,3,,0.2911059558391571,0.29292020201683044
1657,1,2,,0.3525592088699341,0.28772053122520447
1658,1,2,,0.25552746653556824,0.23760536313056946
1659,3,2,0.19811852276325226,0.4284503757953644,0.1969851851463318
1660,2,0,0.3784191608428955,,
1661,2,2,0.32421454787254333,0.16229799389839172,0.3117087483406067
1663,2,3,0.4968371093273163,0.19664280116558075,0.3656705319881439
1664,1,2,,0.3063807785511017,0.35656407475471497
1665,1,1,,,0.1441340446472168
1666,3,1,0.17791371047496796,,0.21529988944530487
1667,2,4,0.3708913028240204,0.16329485177993774,0.23416820168495178
1669,1,0,,,
1670,2,1,0.31905773282051086,,0.26411914825439453
1671,1,3,,0.3377281725406647,0.5772140026092529
1672,2,1,0.2901321053504944,,0.125335693359375
1673,2,1,0.08632752299308777,,0.08476482331752777
1674,2,3,0.5487179756164551,0.41497957706451416,0.469180703163147
1680,2,3,0.3353329598903656,0.37423643469810486,0.3560096323490143
1681,2,5,0.5487126111984253,0.17970140278339386,0.3127780258655548
1687,2,3,0.4334564208984375,0.5503094792366028,0.5860241055488586
1688,3,2,0.33035266399383545,0.4514642059803009,0.4602738320827484
1689,2,2,0.3498196005821228,0.3714011609554291,0.4781685769557953
1690,2,1,0.5158235430717468,,0.5827654600143433
1691,2,2,0.5115927457809448,0.26115894317626953,0.16148225963115692
1693,2,2,0.5663846731185913,0.23595459759235382,0.43453383445739746
1695,2,0,0.34842491149902344,,
1696,2,0,0.3832685053348541,,
1698,1,2,,0.3381277024745941,0.18231473863124847
1700,3,4,0.4053727686405182,0.2125958651304245,0.3453420400619507
1701,2,3,0.4688420295715332,0.28017666935920715,0.2608688175678253
1702,3,4,0.32209649682044983,0.3544103801250458,0.2440696805715561
1703,2,0,0.39409947395324707,,
1704,2,2,0.3107638955116272,0.20504556596279144,0.3447170853614807
1707,2,4,0.24102453887462616,0.31241393089294434,0.35646694898605347
1708,2,1,0.40333276987075806,,0.3443737328052521
1712,1,0,,,
1713,2,0,0.5801828503608704,,
1714,2,2,0.5518320798873901,0.019696494564414024,0.31013157963752747
1715,3,2,0.301515132188797,0.4825723171234131,0.16179795563220978
1721,2,3,0.5487791895866394,0.21384871006011963,0.2597884237766266
1725,2,4,0.1891249418258667,0.24655266106128693,0.24882248044013977
1728,2,2,0.18049198389053345,0.4033582806587219,0.3383682072162628
1731,2,4,0.29261279106140137,0.31808534264564514,0.177353173494339
1732,2,0,0.37407565116882324,,
1733,2,2,0.5487179756164551,0.21890351176261902,0.34871840476989746
1735,3,2,0.4029580056667328,0.0985589474439621,0.2057495266199112
1736,2,2,0.5082101821899414,0.4161636531352997,0.3624953031539917
1738,3,3,0.29145029187202454,0.3569979965686798,0.26583433151245117
1741,2,1,0.47739797830581665,,0.2765665352344513
1743,3,4,0.28293314576148987,0.3243940770626068,0.14659318327903748
1744,1,0,,,
1746,3,3,0.43988335132598877,0.12805093824863434,0.2537554204463959
1747,3,1,0.44879695773124695,,0.4464292526245117
1748,2,2,0.45638710260391235,0.4128984212875366,0.43892407417297363
1749,2,4,0.5114781856536865,0.40318015217781067,0.5251008868217468
1909,3,2,0.4730590879917145,0.18317389488220215,0.27359041571617126
1910,2,0,0.405824214220047,,
1912,1,3,,0.21114616096019745,0.2541196346282959
1913,1,0,,,
1915,2,1,0.21232040226459503,,0.2237846702337265
1917,1,0,,,
1918,2,2,0.16185714304447174,0.07665272802114487,0.32544392347335815
1919,2,2,0.48782551288604736,0.2999044954776764,0.25973013043403625
1922,2,1,0.341572105884552,,0.2955554723739624
1923,2,2,0.4977382719516754,0.38035497069358826,0.20401456952095032
1926,2,1,0.13125459849834442,,0.1241314560174942
1928,1,0,,,
1930,1,3,,0.2692960500717163,0.38259264826774597
1931,2,1,0.08035942167043686,,0.06279809772968292
1934,1,3,,0.23167146742343903,0.21875230967998505
1935,1,1,,,0.26483142375946045
1936,2,4,0.5085122585296631,0.2539139986038208,0.3021266758441925
1938,1,1,,,0.09027533233165741
1939,2,1,0.7608892917633057,,0.19532862305641174
1943,2,4,0.2046043872833252,0.17616327106952667,0.20301222801208496
1944,2,2,0.05442110821604729,0.17292454838752747,0.18689711391925812
1945,1,1,,,0.26253336668014526
1946,1,1,,,0.16184714436531067
1947,1,1,,,0.18332470953464508
1949,1,1,,,0.6356749534606934
1950,1,0,,,
1951,1,2,,0.28914713859558105,0.21310961246490479
1952,2,1,0.39506664872169495,,0.23145762085914612
1953,3,0,0.22924232482910156,,
1954,1,2,,0.35841965675354004,0.5333039164543152
1958,1,0,,,
1959,3,5,0.28321799635887146,0.14526595175266266,0.2185969352722168
1961,1,2,,0.13936440646648407,0.3179401755332947
1962,3,4,0.3877600133419037,0.26219773292541504,0.34093472361564636
1966,3,2,0.5886304974555969,0.2005397379398346,0.24106520414352417
1969,2,3,0.3326420187950134,0.4965793192386627,0.42064499855041504
1972,1,3,,0.16788168251514435,0.29319658875465393
1973,1,4,,0.2993676960468292,0.3834826946258545
1974,2,0,0.3699384331703186,,
1976,2,2,0.6868069171905518,0.09516074508428574,0.256375253200531
1977,2,0,0.6868069171905518,,
1978,1,4,,0.08750522136688232,0.12867705523967743
1984,2,2,0.3864123821258545,0.1863153576850891,0.21465609967708588
1987,1,0,,,
1992,2,0,0.4452618360519409,,
1993,1,3,,0.7604225277900696,0.334909588098526
1994,1,4,,0.20148690044879913,0.22181686758995056
1995,1,1,,,0.4477970600128174
1996,2,1,0.334410697221756,,0.18972527980804443
1997,2,2,0.4942346513271332,0.1609097123146057,0.1598203182220459
1999,1,0,,,
2001,3,3,0.4813190996646881,0.2839448153972626,0.3355431854724884
2002,2,1,0.5266838073730469,,0.24323484301567078
2003,1,1,,,0.44260767102241516
2005,2,1,0.3014705181121826,,0.11683107167482376
2007,1,0,,,
2008,1,1,,,0.21558406949043274
2009,2,5,0.5360933542251587,0.2585381269454956,0.36871734261512756
2010,1,0,,,
2011,1,1,,,0.2426985204219818
2014,1,0,,,
2017,1,1,,,0.2448711097240448
2020,1,0,,,
2022,1,2,,0.087411068379879,0.19317497313022614
2024,3,3,0.5105034708976746,0.3810160458087921,0.3737490475177765
2025,1,4,,0.42726361751556396,0.5679205656051636
2027,2,1,0.3596082627773285,,0.3790423274040222
2028,2,2,0.5139085054397583,0.3769497573375702,0.40253931283950806
2050,3,3,0.3579730987548828,0.1647961139678955,0.22538338601589203
2057,2,3,0.11849649995565414,0.2474515289068222,0.2624529004096985
2059,3,1,0.3537018299102783,,0.3768045902252197
2062,3,0,0.5528742671012878,,
2063,2,0,0.3696913719177246,,
2067,2,1,0.11024800688028336,,0.3450338840484619
2068,2,2,0.2629665732383728,0.29529017210006714,0.2846238613128662
2072,3,0,0.5101584792137146,,
2074,2,2,0.35916388034820557,0.3394157886505127,0.24174292385578156
2075,2,2,0.4165782630443573,0.19191868603229523,0.27087530493736267
2081,1,4,,0.1010393500328064,0.16407182812690735
2082,1,2,,0.23350724577903748,0.20641037821769714
2085,2,0,0.38610750436782837,,
2087,2,1,0.2818661332130432,,0.247666597366333
